workId, aired, genres
"37105","Jul 14, 2018 to Sep 29, 2018","Comedy, Seinen, Slice of Life"
"5420","Jan 10, 2009 to Dec 26, 2009","Drama, Fantasy, Slice of Life"
"34240","Oct 18, 2016","Sci-Fi, Music"
"1365","Apr 20, 2002","Adventure, Mystery, Police, Shounen"
"30346","Feb 20, 2016","Slice of Life, Romance, School, Shounen Ai"
"20651","Feb 1, 2014","Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
"1698","Jan 12, 2007 to Jun 15, 2007","Music, Slice of Life, Comedy, Drama, Romance, Josei"
"30503","Oct 3, 2015 to Dec 26, 2015","Action, Adventure, Comedy, Supernatural, Shounen"
"31240","Apr 4, 2016 to Sep 19, 2016","Drama, Fantasy, Psychological, Thriller"
"28701","Apr 5, 2015 to Jun 28, 2015","Action, Fantasy, Magic, Supernatural"
"18617","Nov 21, 2015","Sports, Military, School"
"14719","Oct 6, 2012 to Apr 6, 2013","Action, Adventure, Supernatural, Vampire, Shounen"
"4081","Jul 8, 2008 to Sep 30, 2008","Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
"19815","Apr 9, 2014 to Jun 25, 2014","Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy"
"5040","Oct 8, 2008 to Apr 1, 2009","Sports, Psychological, Seinen"
"45","Jan 10, 1996 to Sep 8, 1998","Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen"
"2685","Nov 16, 2007 to Mar 17, 2008","Action, Adventure, Drama, Romance, Fantasy, Shounen"
"137","Jan 17, 2002 to Apr 17, 2002","Action, Adventure, Super Power, Shounen"
"34534","Mar 30, 2017 to Apr 26, 2017","Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
"2418","Sep 29, 2007","Action, Adventure, Historical, Samurai"
"513","Aug 2, 1986","Adventure, Fantasy, Romance, Sci-Fi"
"37430","Oct 2, 2018 to Mar 19, 2019","Fantasy, Shounen"
"4224","Oct 2, 2008 to Mar 26, 2009","Slice of Life, Comedy, Romance, School"
"139","Mar 3, 2004 to Aug 18, 2004","Action, Adventure, Super Power, Fantasy, Shounen"
"627","Nov 13, 2004 to May 21, 2005","Comedy, Sports, Drama, Shounen"
"1210","Jul 10, 2006 to Dec 18, 2006","Comedy, Psychological, Drama, Romance"
"36949","Apr 9, 2018 to Jun 25, 2018","Ecchi, School, Shounen"
"338","Oct 10, 1979 to Sep 3, 1980","Military, Historical, Drama, Romance, Shoujo"
"57","Oct 7, 2004 to Mar 31, 2005","Comedy, Drama, Music, Shounen, Slice of Life"
"6945","Sep 21, 2008","Action, Sci-Fi, Comedy, Historical, Parody"
"15227","Nov 12, 2016","Historical, Drama, Seinen"
"32937","Jan 12, 2017 to Mar 16, 2017","Adventure, Comedy, Parody, Supernatural, Magic, Fantasy"
"1842","Jan 6, 2007 to Jun 30, 2007","Drama, Shounen, Sports"
"36999","Nov 10, 2018","Comedy, Mystery, Supernatural, Vampire"
"5081","Jul 3, 2009 to Jun 25, 2010","Romance, Supernatural, Mystery, Vampire"
"5460","Apr 18, 2009","Action, Police, Mystery, Shounen"
"264","Apr 18, 2003","Comedy, Shounen, Sports"
"11771","Apr 8, 2012 to Sep 22, 2012","Comedy, School, Shounen, Sports"
"558","Dec 10, 2005 to Jun 10, 2006","Comedy, Drama, Shounen, Sports"
"437","Feb 28, 1998","Dementia, Drama, Horror, Psychological"
"329","Oct 4, 2003 to Apr 17, 2004","Drama, Romance, Sci-Fi, Seinen, Space"
"37095","Jul 4, 2018","Drama, Fantasy, Slice of Life"
"43","Nov 18, 1995","Action, Sci-Fi, Police, Psychological, Mecha, Seinen"
"36296","Apr 6, 2018 to Jun 22, 2018","Comedy, Supernatural, Sci-Fi, Slice of Life, Seinen"
"9617","Dec 3, 2011","Music, Slice of Life, Comedy"
"11843","Jan 10, 2012 to Mar 27, 2012","Slice of Life, Comedy, School"
"19363","Jan 10, 2014 to Mar 28, 2014","Comedy, School, Shounen, Slice of Life"
"1889","Jul 6, 2007 to Dec 18, 2007","Mystery, Psychological, Supernatural, Thriller"
"5690","Jan 15, 2010 to Mar 26, 2010","Comedy, Josei, Music, Romance"
"2966","Jan 9, 2008 to Mar 26, 2008","Adventure, Fantasy, Historical, Romance"
"32188","Dec 3, 2015","Sci-Fi, Thriller"
"34537","Apr 7, 2017","Comedy, Romance"
"22297","Oct 12, 2014 to Dec 28, 2014","Action, Fantasy, Magic, Supernatural"
"3002","Oct 3, 2007 to Apr 2, 2008","Game, Psychological, Seinen, Thriller"
"1142","Jun 30, 2006 to Sep 15, 2006","Drama, Josei, Romance, Slice of Life"
"23317","Jan 28, 2015 to Feb 25, 2015","Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural"
"30","Oct 4, 1995 to Mar 27, 1996","Action, Dementia, Drama, Mecha, Psychological, Sci-Fi"
"853","Apr 5, 2006 to Sep 27, 2006","Comedy, Harem, Romance, School, Shoujo"
"6675","Aug 14, 2009","Action, Sci-Fi, Cars, Sports"
"35466","Mar 21, 2018","Romance, School, Slice of Life"
"9863","Apr 7, 2011 to Sep 27, 2012","Comedy, School, Shounen"
"2236","Jul 15, 2006","Sci-Fi, Adventure, Drama, Romance"
"34822","Apr 7, 2017 to Jun 30, 2017","Romance, School"
"34798","Jan 4, 2018 to Mar 22, 2018","Slice of Life, Comedy"
"2402","Apr 1, 1970 to Sep 29, 1971","Action, Drama, Shounen, Slice of Life, Sports"
"7674","Oct 2, 2010 to Apr 2, 2011","Comedy, Drama, Romance, Shounen"
"34636","Jul 9, 2017 to Dec 17, 2017","Comedy, Drama, Romance, School, Shounen, Sports"
"36896","Aug 3, 2018","Action, Comedy, School, Shounen, Super Power"
"35608","Jan 6, 2018","Slice of Life, Comedy, Drama, Romance, School"
"9735","Dec 15, 2010","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"6811","Oct 4, 2009 to Mar 30, 2010","Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
"36098","Sep 1, 2018","Drama"
