"workId","engName","synonymsName","jpName","episodes","genres"
"164","Princess Mononoke","Mononoke Hime","もののけ姫","1","Action, Adventure, Fantasy"
"1575","Code Geass: Lelouch of the Rebellion",\N,"コードギアス 反逆のルルーシュ","25","Action, Drama, Mecha, Military, School, Sci-Fi, Super Power"
"44","Samurai X: Trust and Betrayal","Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Reminiscence","るろうに剣心―明治剣客浪漫譚―追憶編","4","Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen"
"17074","Monogatari Series: Second Season","Nekomonogatari: Shiro, Kabukimonogatari: Mayoi Jianshi, Otorimonogatari, Onimonogatari, Koimonogatari","〈物語〉シリーズ セカンドシーズン","26","Mystery, Comedy, Supernatural, Romance, Vampire"
"21939","MUSHI-SHI -Next Passage-","Mushi-shi Zoku Shou, Mushishi: The Next Chapter","蟲師 続章","10","Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen"
"12355","Wolf Children","The Wolf Children Ame and Yuki","おおかみこどもの雨と雪","1","Fantasy, Slice of Life"
"245","Great Teacher Onizuka","GTO","グレート・ティーチャー・オニヅカ","43","Comedy, Drama, School, Shounen, Slice of Life"
"457","Mushi-Shi",\N,"蟲師","26","Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen"
"2001","Gurren Lagann","Tengen Toppa Gurren-Lagann, Making Break-Through Gurren Lagann, Heavenly Breakthrough Gurren Lagann, TTGL, Gurren Laggan","天元突破グレンラガン","27","Action, Adventure, Comedy, Mecha, Sci-Fi"
"33486","My Hero Academia 2",\N,"僕のヒーローアカデミア 2ndシーズン","25","Action, Comedy, Super Power, School, Shounen"
"5258","Fighting Spirit: New Challenger","Hajime no Ippo New Series, Hajime no Ippo Season II, Hajime no Ippo 2","はじめの一歩 新シリーズ","26","Comedy, Sports, Drama, Shounen"
"431","Howl's Moving Castle",\N,"ハウルの動く城","1","Adventure, Drama, Fantasy, Romance"
"34591","Natsume's Book of Friends Season 6","Natsume Yuujinchou Season 6, Natsume's Book of Friends Six","夏目友人帳 陸","11","Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
"11665","Natsume's Book of Friends Season 4","Natsume Yuujinchou Four, Natsume Yuujinchou 4, Natsume Yujincho 4","夏目友人帳 肆","13","Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
"30276","One Punch Man","One Punch-Man, One-Punch Man, OPM","ワンパンマン","12","Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen"
"7311","The Disappearance of Haruhi Suzumiya","The Vanishment of Haruhi Suzumiya, Suzumiya Haruhi no Syoshitsu, Haruhi Movie","涼宮ハルヒの消失","1","Comedy, Mystery, Romance, School, Sci-Fi, Supernatural"
"36456","My Hero Academia 3",\N,"僕のヒーローアカデミア 3rdシーズン","25","Action, Comedy, School, Shounen, Super Power"
"19","Monster",\N,"モンスター","74","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
"28957",\N,"Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells","蟲師 続章: 鈴の雫","1","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
"31757","Kizumonogatari Part 2: Nekketsu","Koyomi Vamp, Kizumonogatari Part 2","傷物語〈Ⅱ熱血篇〉","1","Action, Mystery, Supernatural, Vampire"
"37208",\N,"Modao Zushi, Grandmaster of Demonic Cultivation, The Founder of Diabolism, The Founder of Evil Magic","魔道祖师","15","Action, Adventure, Mystery, Comedy, Historical, Supernatural"
"1535","Death Note","DN","デスノート","37","Mystery, Police, Psychological, Supernatural, Thriller, Shounen"
